,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
0,6.4,3.2,4.5,1.5,versicolor
1,6.3,3.3,6.0,2.5,virginica
2,6.2,,5.4,2.3,virginica
3,5.0,3.4,1.6,0.4,setosa
4,5.7,2.6,3.5,1.0,versicolor
5,5.3,,,0.2,setosa
6,6.4,2.7,5.3,,virginica
7,5.9,3.0,5.1,1.8,virginica
8,5.8,2.7,4.1,1.0,versicolor
9,4.8,3.1,1.6,0.2,setosa
10,5.0,3.5,1.6,0.6,setosa
11,6.0,2.7,5.1,1.6,versicolor
12,6.0,3.0,4.8,,virginica
13,6.8,2.8,4.8,1.4,versicolor
14,,3.9,1.7,0.4,setosa
15,5.0,0.0,3.5,1.0,versicolor
16,5.5,,4.0,1.3,versicolor
17,4.7,3.2,1.3,0.2,setosa
18,,4.0,,0.2,setosa
19,5.6,,4.2,1.3,versicolor
20,4.9,3.6,,0.1,setosa
21,5.4,,4.5,1.5,versicolor
22,6.2,2.8,,1.8,virginica
23,6.7,3.3,5.7,2.5,virginica
24,,3.0,5.9,2.1,virginica
25,4.6,3.2,1.4,0.2,setosa
26,4.9,3.1,1.5,0.1,setosa
27,73.0,29.0,63.0,,virginica
28,6.5,3.2,5.1,2.0,virginica
29,,2.8,0.82,1.3,versicolor
30,4.4,3.2,,0.2,setosa
31,5.9,3.2,4.8,,versicolor
32,5.7,2.8,4.5,1.3,versicolor
33,6.2,2.9,,1.3,versicolor
34,6.6,2.9,23.0,1.3,versicolor
35,4.8,3.0,1.4,0.1,setosa
36,6.5,3.0,5.5,1.8,virginica
37,6.2,2.2,4.5,1.5,versicolor
38,6.7,2.5,5.8,1.8,virginica
39,5.0,3.0,1.6,0.2,setosa
40,5.0,,1.2,0.2,setosa
41,5.8,2.7,3.9,1.2,versicolor
42,0.0,,1.3,0.4,setosa
43,5.8,2.7,5.1,1.9,virginica
44,5.5,4.2,1.4,0.2,setosa
45,7.7,2.8,6.7,2.0,virginica
46,5.7,,,0.4,setosa
47,7.0,3.2,4.7,1.4,versicolor
48,6.5,3.0,5.8,2.2,virginica
49,6.0,3.4,4.5,1.6,versicolor
50,5.5,2.6,4.4,1.2,versicolor
51,4.9,3.1,,0.2,setosa
52,5.2,2.7,3.9,1.4,versicolor
53,4.8,3.4,1.6,0.2,setosa
54,6.3,3.3,4.7,1.6,versicolor
55,7.7,3.8,6.7,2.2,virginica
56,5.1,3.8,1.5,0.3,setosa
57,,2.9,4.5,1.5,versicolor
58,6.4,2.8,5.6,,virginica
59,6.4,2.8,5.6,2.1,virginica
60,5.0,2.3,3.3,,versicolor
61,7.4,2.8,6.1,1.9,virginica
62,4.3,3.0,1.1,0.1,setosa
63,5.0,3.3,1.4,0.2,setosa
64,7.2,3.0,5.8,1.6,virginica
65,6.3,2.5,4.9,1.5,versicolor
66,5.1,2.5,,1.1,versicolor
67,,3.2,5.7,2.3,virginica
68,5.1,3.5,,,setosa
69,5.0,3.5,1.3,0.3,setosa
70,6.1,3.0,4.6,1.4,versicolor
71,6.9,3.1,5.1,2.3,virginica
72,5.1,3.5,1.4,0.3,setosa
73,6.5,,4.6,1.5,versicolor
74,5.6,2.8,4.9,2.0,virginica
75,4.9,2.5,4.5,,virginica
76,5.5,3.5,1.3,0.2,setosa
77,7.6,3.0,6.6,2.1,virginica
78,5.1,3.8,0.0,0.2,setosa
79,7.9,3.8,6.4,2.0,virginica
80,6.1,2.6,5.6,1.4,virginica
81,5.4,3.4,1.7,0.2,setosa
82,6.1,2.9,4.7,1.4,versicolor
83,5.4,3.7,1.5,0.2,setosa
84,6.7,3.0,5.2,2.3,virginica
85,5.1,3.8,1.9,,setosa
86,6.4,2.9,4.3,1.3,versicolor
87,5.7,2.9,4.2,1.3,versicolor
88,4.4,2.9,1.4,0.2,setosa
89,6.3,2.5,5.0,1.9,virginica
90,7.2,3.2,6.0,1.8,virginica
91,4.9,,3.3,1.0,versicolor
92,5.2,3.4,1.4,0.2,setosa
93,5.8,2.7,5.1,1.9,virginica
94,6.0,2.2,5.0,1.5,virginica
95,6.9,3.1,,1.5,versicolor
96,5.5,2.3,4.0,1.3,versicolor
97,6.7,,5.0,1.7,versicolor
98,5.7,3.0,4.2,1.2,versicolor
99,6.3,2.8,5.1,1.5,virginica
100,5.4,3.4,1.5,0.4,setosa
101,7.2,3.6,,2.5,virginica
102,6.3,2.7,4.9,,virginica
103,5.6,3.0,4.1,1.3,versicolor
104,5.1,3.7,,0.4,setosa
105,5.5,,0.925,1.0,versicolor
106,6.5,3.0,5.2,2.0,virginica
107,4.8,3.0,1.4,,setosa
108,6.1,2.8,,1.3,versicolor
109,4.6,3.4,1.4,0.3,setosa
110,6.3,3.4,,2.4,virginica
111,5.0,3.4,1.5,0.2,setosa
112,5.1,3.4,1.5,0.2,setosa
113,,3.3,5.7,2.1,virginica
114,6.7,3.1,4.7,1.5,versicolor
115,7.7,2.6,6.9,2.3,virginica
116,6.3,,4.4,1.3,versicolor
117,4.6,3.1,1.5,0.2,setosa
118,,3.0,5.5,2.1,virginica
119,,2.8,4.7,1.2,versicolor
120,5.9,3.0,,1.5,versicolor
121,4.5,2.3,1.3,0.3,setosa
122,6.4,3.2,5.3,2.3,virginica
123,5.2,4.1,1.5,0.1,setosa
124,49.0,30.0,14.0,2.0,setosa
125,5.6,2.9,3.6,1.3,versicolor
126,6.8,3.2,5.9,2.3,virginica
127,5.8,,5.1,2.4,virginica
128,4.6,3.6,,0.2,setosa
129,5.7,0.0,1.7,0.3,setosa
130,5.6,2.5,3.9,1.1,versicolor
131,6.7,3.1,4.4,1.4,versicolor
132,4.8,,1.9,0.2,setosa
133,5.1,3.3,1.7,0.5,setosa
134,4.4,3.0,1.3,,setosa
135,7.7,3.0,,2.3,virginica
136,4.7,3.2,1.6,0.2,setosa
137,,3.0,4.9,1.8,virginica
138,6.9,3.1,5.4,2.1,virginica
139,6.0,2.2,4.0,1.0,versicolor
140,5.0,,1.4,0.2,setosa
141,5.5,,3.8,1.1,versicolor
142,6.6,3.0,4.4,1.4,versicolor
143,6.3,2.9,5.6,1.8,virginica
144,5.7,2.5,5.0,2.0,virginica
145,6.7,3.1,5.6,2.4,virginica
146,5.6,3.0,4.5,1.5,versicolor
147,5.2,3.5,1.5,0.2,setosa
148,6.4,3.1,,1.8,virginica
149,5.8,2.6,4.0,,versicolor
